Satırlar|||Adana-1|Adıyaman-2|Afyonkarahisar-3|Aksaray-68|Amasya-5|Ankara-6|Antalya-7|Ardahan-75|Artvin-8|Aydın-9|Ağrı-4|Balıkesir-10|Bartın-74|Batman-72|Bayburt-69|Bilecik-11|Bingöl-12|Bitlis-13|Bolu-14|Burdur-15|Bursa-16|Denizli-20|Diyarbakır-21|Düzce-81|Edirne-22|Elazığ-23|Erzincan-24|Erzurum-25|Eskişehir-26|Gaziantep-27|Giresun-28|Gümüşhane-29|Hakkari-30|Hatay-31|Isparta-32|Iğdır-76|Kahramanmaraş-46|Karabük-78|Karaman-70|Kars-36|Kastamonu-37|Kayseri-38|Kilis-79|Kocaeli-41|Konya-42|Kütahya-43|Kırklareli-39|Kırıkkale-71|Kırşehir-40|Malatya-44|Manisa-45|Mardin-47|Mersin-33|Muğla-48|Muş-49|Nevşehir-50|Niğde-51|Ordu-52|Osmaniye-80|Rize-53|Sakarya-54|Samsun-55|Siirt-56|Sinop-57|Sivas-58|Tekirdağ-59|Tokat-60|Trabzon-61|Tunceli-62|Uşak-64|Van-65|Yalova-77|Yozgat-66|Zonguldak-67|Çanakkale-17|Çankırı-18|Çorum-19|İstanbul-34|İzmir-35|Şanlıurfa-63|Şırnak-73|
|Cinsiyeti:Kadın ve Yaş:2|2017|19164.0|6264.0|5257.0|3236.0|1922.0|38533.0|17701.0|728.0|917.0|6902.0|6738.0|6439.0|1048.0|6908.0|550.0|1356.0|2545.0|3886.0|1718.0|1480.0|21686.0|6917.0|20561.0|2508.0|2116.0|4320.0|1544.0|6691.0|5114.0|23476.0|2278.0|1065.0|2606.0|15203.0|2580.0|2079.0|10546.0|1262.0|1864.0|2626.0|2029.0|11079.0|1383.0|15445.0|17550.0|3370.0|1781.0|1702.0|1539.0|5912.0|9559.0|9911.0|14012.0|5621.0|4816.0|2047.0|2676.0|4434.0|4568.0|2018.0|7095.0|8526.0|3855.0|1086.0|4239.0|7537.0|3743.0|5178.0|470.0|2237.0|13359.0|1658.0|2762.0|3327.0|2689.0|1123.0|3270.0|115576.0|27681.0|29320.0|6689.0|
||2018|18475.0|6150.0|5182.0|3340.0|1855.0|38102.0|17496.0|673.0|946.0|6723.0|6721.0|6547.0|983.0|7004.0|573.0|1391.0|2544.0|3936.0|1778.0|1500.0|21880.0|6699.0|20388.0|2646.0|1969.0|4260.0|1556.0|6738.0|5096.0|23002.0|2240.0|977.0|2653.0|14992.0|2504.0|2005.0|10385.0|1237.0|1855.0|2594.0|1873.0|10961.0|1436.0|15605.0|17479.0|3268.0|1815.0|1713.0|1543.0|5749.0|9621.0|9627.0|13876.0|5653.0|4923.0|2034.0|2810.0|4618.0|4400.0|1992.0|7448.0|8643.0|3711.0|1163.0|4244.0|7601.0|3626.0|5209.0|475.0|2268.0|13062.0|1763.0|2747.0|3116.0|2752.0|1268.0|3311.0|114477.0|26859.0|29456.0|6073.0|
||2019|18062.0|5969.0|5107.0|3334.0|1833.0|38003.0|17155.0|659.0|929.0|6951.0|6602.0|6379.0|963.0|6944.0|601.0|1372.0|2540.0|3871.0|1752.0|1378.0|21422.0|6492.0|20470.0|2711.0|1939.0|4156.0|1421.0|6642.0|5104.0|22378.0|2269.0|987.0|2597.0|14683.0|2552.0|2017.0|10190.0|1188.0|1876.0|2489.0|1778.0|10631.0|1416.0|15487.0|17049.0|3185.0|1814.0|1657.0|1547.0|5683.0|9180.0|9815.0|13575.0|5472.0|4814.0|2011.0|2643.0|4364.0|4378.0|1996.0|7391.0|8438.0|3831.0|1132.0|4139.0|7600.0|3616.0|5084.0|459.0|2181.0|13229.0|1749.0|2753.0|3007.0|2753.0|1232.0|3061.0|112779.0|26370.0|29930.0|6670.0|
|Cinsiyeti:Kadın ve Yaş:3|2017|19316.0|6289.0|5439.0|3416.0|1938.0|38845.0|17471.0|689.0|982.0|6860.0|6835.0|6807.0|1082.0|7145.0|596.0|1369.0|2652.0|3854.0|1782.0|1532.0|21652.0|6978.0|20614.0|2659.0|1954.0|4441.0|1547.0|6845.0|5300.0|23606.0|2295.0|1089.0|2827.0|15527.0|2541.0|2077.0|10937.0|1212.0|1755.0|2684.0|1914.0|11435.0|1391.0|15260.0|17880.0|3496.0|1889.0|1692.0|1634.0|6129.0|9724.0|9908.0|14399.0|5718.0|4987.0|2035.0|2821.0|4696.0|4762.0|2049.0|7291.0|8733.0|4050.0|1164.0|4501.0|7407.0|3755.0|5061.0|435.0|2304.0|13653.0|1734.0|2859.0|3431.0|2755.0|1129.0|3609.0|115519.0|27804.0|29243.0|6583.0|
||2018|19132.0|6309.0|5329.0|3322.0|1956.0|39060.0|18061.0|715.0|922.0|7057.0|6592.0|6544.0|1066.0|6939.0|577.0|1387.0|2559.0|3842.0|1780.0|1499.0|22066.0|6986.0|20535.0|2602.0|2124.0|4393.0|1496.0|6609.0|5195.0|23457.0|2346.0|1028.0|2597.0|15546.0|2625.0|2065.0|10594.0|1305.0|1869.0|2563.0|2041.0|11144.0|1461.0|15567.0|17652.0|3393.0|1794.0|1767.0|1634.0|5970.0|9646.0|9956.0|14167.0|5697.0|4755.0|2062.0|2752.0|4589.0|4630.0|2075.0|7242.0|8721.0|3825.0|1140.0|4314.0|7689.0|3771.0|5233.0|482.0|2251.0|13189.0|1759.0|2775.0|3354.0|2757.0|1287.0|3368.0|114773.0|27767.0|29333.0|6729.0|
||2019|18504.0|6096.0|5204.0|3330.0|1861.0|38819.0|17984.0|641.0|929.0|6807.0|6518.0|6629.0|981.0|7007.0|565.0|1385.0|2517.0|3845.0|1816.0|1486.0|22163.0|6711.0|20336.0|2654.0|1975.0|4199.0|1564.0|6603.0|5157.0|23109.0|2243.0|966.0|2619.0|15064.0|2547.0|2013.0|10391.0|1252.0|1838.0|2522.0|1855.0|11051.0|1441.0|15829.0|17663.0|3261.0|1862.0|1721.0|1551.0|5810.0|9662.0|9593.0|14033.0|5776.0|4854.0|2056.0|2763.0|4546.0|4457.0|1995.0|7511.0|8683.0|3657.0|1143.0|4190.0|7677.0|3654.0|5204.0|436.0|2285.0|13003.0|1846.0|2698.0|3089.0|2799.0|1098.0|3244.0|115408.0|27137.0|29206.0|6046.0|
|Cinsiyeti:Kadın ve Yaş:4|2017|18674.0|5961.0|5043.0|3351.0|1970.0|37720.0|16851.0|661.0|923.0|6718.0|6480.0|6703.0|1084.0|6707.0|546.0|1382.0|2452.0|3713.0|1797.0|1484.0|21028.0|6532.0|19236.0|2569.0|2053.0|4214.0|1570.0|6476.0|5122.0|22516.0|2322.0|1096.0|2705.0|14572.0|2601.0|2037.0|10566.0|1292.0|1804.0|2575.0|1956.0|10970.0|1268.0|14520.0|17219.0|3359.0|1755.0|1647.0|1517.0|5943.0|9602.0|9424.0|14004.0|5675.0|4761.0|1997.0|2719.0|4524.0|4611.0|2067.0|6998.0|8697.0|3653.0|1155.0|4205.0|7186.0|3821.0|5057.0|437.0|2240.0|13159.0|1655.0|2771.0|3371.0|2767.0|1100.0|3424.0|109671.0|27157.0|27573.0|6272.0|
||2018|19325.0|6320.0|5487.0|3509.0|1974.0|39486.0|17833.0|678.0|977.0|6947.0|6697.0|6929.0|1123.0|7177.0|597.0|1378.0|2662.0|3809.0|1838.0|1562.0|22106.0|7057.0|20507.0|2735.0|2003.0|4504.0|1523.0|6769.0|5402.0|23616.0|2363.0|1002.0|2801.0|15777.0|2600.0|2050.0|10999.0|1240.0|1786.0|2607.0|1939.0|11487.0|1439.0|15408.0|18027.0|3510.0|1933.0|1718.0|1633.0|6188.0|9866.0|9882.0|14480.0|5794.0|4925.0|2084.0|2864.0|4815.0|4810.0|2087.0|7432.0|8928.0|4016.0|1213.0|4512.0|7534.0|3765.0|5152.0|436.0|2322.0|13529.0|1817.0|2921.0|3434.0|2834.0|1309.0|3678.0|114872.0|27929.0|29201.0|6631.0|
||2019|19144.0|6254.0|5310.0|3314.0|1977.0|39661.0|18484.0|703.0|904.0|7107.0|6447.0|6628.0|1049.0|6881.0|568.0|1373.0|2531.0|3798.0|1799.0|1494.0|22373.0|7025.0|20425.0|2617.0|2110.0|4345.0|1499.0|6496.0|5289.0|23579.0|2330.0|1028.0|2590.0|15628.0|2629.0|2055.0|10585.0|1290.0|1876.0|2493.0|2040.0|11254.0|1467.0|15786.0|17758.0|3395.0|1826.0|1769.0|1642.0|6022.0|9713.0|9916.0|14350.0|5825.0|4706.0|2100.0|2729.0|4502.0|4649.0|2059.0|7310.0|8806.0|3792.0|1134.0|4251.0|7768.0|3828.0|5231.0|441.0|2260.0|13131.0|1831.0|2740.0|3289.0|2770.0|1141.0|3278.0|115818.0|27934.0|29041.0|6688.0|
|Cinsiyeti:Kadın ve Yaş:5|2017|18596.0|5955.0|5246.0|3323.0|2037.0|37633.0|17159.0|657.0|930.0|6877.0|6370.0|6607.0|1004.0|6699.0|563.0|1407.0|2430.0|3713.0|1748.0|1368.0|21314.0|6635.0|19181.0|2475.0|2021.0|4221.0|1530.0|6456.0|4929.0|22291.0|2377.0|1034.0|2561.0|14527.0|2659.0|2003.0|10820.0|1346.0|1821.0|2699.0|2002.0|11012.0|1241.0|14802.0|17452.0|3332.0|1799.0|1606.0|1495.0|5974.0|9516.0|9283.0|14031.0|5774.0|4742.0|2016.0|2802.0|4630.0|4660.0|2032.0|6976.0|8781.0|3628.0|1176.0|4227.0|7213.0|3843.0|5182.0|424.0|2238.0|12637.0|1700.0|2741.0|3533.0|2868.0|1089.0|3464.0|109372.0|27267.0|27219.0|6195.0|
||2018|18663.0|5978.0|5116.0|3432.0|1997.0|38283.0|17228.0|661.0|925.0|6790.0|6348.0|6844.0|1101.0|6742.0|554.0|1418.0|2450.0|3675.0|1851.0|1485.0|21467.0|6611.0|19220.0|2625.0|2061.0|4279.0|1565.0|6404.0|5217.0|22459.0|2370.0|987.0|2688.0|14772.0|2617.0|2011.0|10598.0|1326.0|1819.0|2495.0|1993.0|11015.0|1290.0|14628.0|17347.0|3386.0|1777.0|1711.0|1566.0|6004.0|9659.0|9437.0|14130.0|5826.0|4689.0|2054.0|2754.0|4613.0|4637.0|2118.0|7092.0|8888.0|3636.0|1202.0|4258.0|7379.0|3812.0|5173.0|433.0|2267.0|12987.0|1733.0|2780.0|3406.0|2817.0|1239.0|3472.0|109232.0|27213.0|27523.0|6285.0|
||2019|19344.0|6278.0|5487.0|3504.0|1982.0|40082.0|18363.0|665.0|946.0|7034.0|6573.0|6950.0|1106.0|7227.0|591.0|1383.0|2622.0|3768.0|1865.0|1551.0|22355.0|7084.0|20385.0|2740.0|1998.0|4467.0|1536.0|6651.0|5495.0|23722.0|2330.0|1009.0|2795.0|15868.0|2626.0|2048.0|10939.0|1232.0|1786.0|2565.0|1910.0|11558.0|1446.0|15606.0|18156.0|3481.0|1924.0|1713.0|1664.0|6201.0|9984.0|9851.0|14617.0|5910.0|4875.0|2127.0|2840.0|4708.0|4837.0|2073.0|7486.0|8979.0|3954.0|1210.0|4432.0|7631.0|3858.0|5180.0|414.0|2342.0|13433.0|1895.0|2873.0|3402.0|2866.0|1183.0|3613.0|115825.0|28090.0|28973.0|6625.0|
|Cinsiyeti:Kadın ve Yaş:6|2017|17810.0|5800.0|5092.0|3370.0|2009.0|36689.0|16614.0|695.0|903.0|6467.0|6265.0|6606.0|1049.0|6519.0|483.0|1335.0|2360.0|3580.0|1791.0|1483.0|20229.0|6527.0|18415.0|2532.0|1936.0|4237.0|1588.0|6335.0|4860.0|21294.0|2355.0|998.0|2660.0|14188.0|2549.0|1908.0|10509.0|1289.0|1735.0|2566.0|1989.0|11044.0|1156.0|13925.0|16915.0|3273.0|1598.0|1608.0|1532.0|6127.0|9185.0|8800.0|13536.0|5582.0|4589.0|1958.0|2770.0|4574.0|4463.0|1982.0|6596.0|8441.0|3618.0|1162.0|4263.0|6968.0|3795.0|4938.0|327.0|2163.0|12426.0|1530.0|2783.0|3429.0|2729.0|1115.0|3335.0|104331.0|25688.0|25954.0|5925.0|
||2018|18610.0|5986.0|5330.0|3375.0|2057.0|38250.0|17589.0|638.0|925.0|6944.0|6281.0|6740.0|1032.0|6708.0|576.0|1436.0|2438.0|3673.0|1804.0|1391.0|21670.0|6683.0|19079.0|2511.0|2032.0|4277.0|1517.0|6403.0|5029.0|22221.0|2400.0|902.0|2540.0|14761.0|2650.0|1983.0|10892.0|1365.0|1824.0|2624.0|2027.0|11110.0|1305.0|14836.0|17561.0|3336.0|1822.0|1635.0|1559.0|5994.0|9617.0|9295.0|14197.0|5835.0|4689.0|2049.0|2806.0|4768.0|4650.0|2076.0|7157.0|8963.0|3607.0|1228.0|4247.0|7360.0|3876.0|5249.0|419.0|2264.0|12503.0|1784.0|2746.0|3542.0|2926.0|1221.0|3465.0|109150.0|27391.0|27136.0|6197.0|
||2019|18673.0|5944.0|5098.0|3428.0|2003.0|38914.0|17800.0|642.0|915.0|6864.0|6211.0|6923.0|1089.0|6715.0|553.0|1430.0|2400.0|3598.0|1872.0|1448.0|21758.0|6655.0|19123.0|2651.0|2061.0|4206.0|1544.0|6279.0|5316.0|22550.0|2348.0|977.0|2678.0|14793.0|2634.0|2005.0|10540.0|1325.0|1814.0|2423.0|1979.0|11122.0|1293.0|14797.0|17499.0|3330.0|1787.0|1674.0|1560.0|6006.0|9748.0|9390.0|14269.0|5897.0|4603.0|2081.0|2722.0|4504.0|4675.0|2077.0|7180.0|8953.0|3580.0|1198.0|4167.0|7434.0|3834.0|5163.0|404.0|2282.0|12967.0|1808.0|2737.0|3359.0|2876.0|1099.0|3359.0|110529.0|27423.0|27218.0|6254.0|
|Cinsiyeti:Kadın ve Yaş:7|2017|17935.0|5638.0|5226.0|3435.0|2064.0|37290.0|16809.0|654.0|866.0|6717.0|6435.0|6456.0|1112.0|6623.0|566.0|1297.0|2401.0|3633.0|1678.0|1454.0|20536.0|6377.0|18217.0|2576.0|1898.0|4277.0|1465.0|6302.0|4915.0|21185.0|2475.0|1009.0|2534.0|14464.0|2597.0|1988.0|10833.0|1331.0|1701.0|2739.0|2007.0|10868.0|1229.0|14220.0|16705.0|3496.0|1812.0|1736.0|1486.0|6130.0|9149.0|8862.0|13927.0|5696.0|4529.0|1989.0|2752.0|4783.0|4755.0|1979.0|6697.0|8731.0|3666.0|1138.0|4241.0|6857.0|3931.0|5104.0|336.0|2218.0|12573.0|1600.0|2848.0|3621.0|2640.0|1109.0|3368.0|106667.0|25704.0|25564.0|5956.0|
||2018|17788.0|5823.0|5124.0|3420.0|2010.0|37347.0|16977.0|691.0|928.0|6563.0|6137.0|6733.0|1060.0|6512.0|514.0|1342.0|2359.0|3548.0|1870.0|1493.0|20618.0|6528.0|18324.0|2591.0|1961.0|4297.0|1573.0|6303.0|4961.0|21255.0|2386.0|934.0|2648.0|14395.0|2583.0|1890.0|10528.0|1315.0|1734.0|2531.0|1986.0|11057.0|1186.0|13981.0|16988.0|3306.0|1642.0|1652.0|1593.0|6143.0|9242.0|8792.0|13610.0|5699.0|4565.0|2001.0|2795.0|4686.0|4533.0|2028.0|6751.0|8597.0|3612.0|1192.0|4295.0|7066.0|3802.0|5011.0|341.0|2169.0|12353.0|1612.0|2838.0|3456.0|2776.0|1293.0|3409.0|104009.0|25816.0|25905.0|5938.0|
||2019|18621.0|5976.0|5332.0|3384.0|2066.0|38861.0|18016.0|623.0|915.0|7004.0|6175.0|6808.0|1028.0|6674.0|572.0|1451.0|2400.0|3634.0|1831.0|1386.0|21894.0|6742.0|19023.0|2524.0|2044.0|4217.0|1519.0|6332.0|5110.0|22308.0|2413.0|940.0|2520.0|14819.0|2662.0|1981.0|10830.0|1365.0|1823.0|2581.0|2009.0|11220.0|1289.0|14980.0|17645.0|3312.0|1824.0|1629.0|1581.0|6031.0|9639.0|9291.0|14289.0|5919.0|4662.0|2066.0|2773.0|4666.0|4687.0|2051.0|7203.0|9029.0|3567.0|1216.0|4196.0|7415.0|3958.0|5281.0|414.0|2256.0|12522.0|1830.0|2716.0|3529.0|2921.0|1104.0|3394.0|110099.0|27525.0|26887.0|6174.0|
|Cinsiyeti:Kadın ve Yaş:8|2017|18219.0|5739.0|5250.0|3315.0|2068.0|37357.0|17175.0|711.0|920.0|6609.0|6027.0|6547.0|1127.0|6524.0|545.0|1334.0|2342.0|3617.0|1810.0|1453.0|20684.0|6676.0|17540.0|2612.0|1946.0|4320.0|1439.0|6225.0|4948.0|21353.0|2421.0|1072.0|2597.0|14582.0|2729.0|1886.0|10708.0|1330.0|1881.0|2573.0|2061.0|11056.0|1198.0|14152.0|16888.0|3324.0|1723.0|1762.0|1490.0|6141.0|9277.0|8825.0|13813.0|5723.0|4453.0|2098.0|2836.0|4793.0|4797.0|2016.0|6976.0|9002.0|3652.0|1201.0|4337.0|6935.0|4065.0|5365.0|377.0|2215.0|12458.0|1733.0|3027.0|3843.0|2835.0|1107.0|3534.0|106788.0|26060.0|24765.0|6097.0|
||2018|17924.0|5692.0|5256.0|3493.0|2065.0|37893.0|17183.0|640.0|880.0|6827.0|6300.0|6536.0|1130.0|6635.0|568.0|1341.0|2408.0|3615.0|1745.0|1460.0|20848.0|6409.0|18198.0|2618.0|1905.0|4326.0|1445.0|6282.0|4998.0|21117.0|2518.0|925.0|2533.0|14639.0|2598.0|1947.0|10844.0|1356.0|1730.0|2720.0|2022.0|10900.0|1263.0|14289.0|16788.0|3530.0|1813.0|1773.0|1530.0|6166.0|9194.0|8858.0|14009.0|5782.0|4490.0|2010.0|2794.0|4912.0|4767.0|2019.0|6775.0|8927.0|3625.0|1173.0|4253.0|6977.0|3962.0|5181.0|357.0|2237.0|12460.0|1680.0|2874.0|3629.0|2685.0|1265.0|3394.0|106311.0|25768.0|25523.0|5978.0|
||2019|17798.0|5779.0|5157.0|3431.0|2011.0|37916.0|17384.0|672.0|925.0|6588.0|6028.0|6813.0|1059.0|6539.0|511.0|1349.0|2335.0|3526.0|1908.0|1497.0|20776.0|6571.0|18264.0|2578.0|1930.0|4273.0|1585.0|6246.0|5034.0|21324.0|2381.0|941.0|2648.0|14365.0|2595.0|1895.0|10466.0|1304.0|1717.0|2468.0|1968.0|11141.0|1201.0|14120.0|17107.0|3264.0|1648.0|1657.0|1611.0|6155.0|9308.0|8746.0|13778.0|5747.0|4514.0|2027.0|2773.0|4595.0|4576.0|2009.0|6812.0|8677.0|3556.0|1177.0|4275.0|7152.0|3847.0|5034.0|322.0|2178.0|12356.0|1685.0|2780.0|3443.0|2791.0|1158.0|3333.0|104986.0|25928.0|25728.0|5933.0|
|Cinsiyeti:Kadın ve Yaş:9|2017|19087.0|6150.0|5362.0|3387.0|2143.0|39289.0|17678.0|679.0|907.0|7064.0|5832.0|6880.0|1153.0|6791.0|562.0|1331.0|2401.0|3692.0|1829.0|1499.0|21555.0|7099.0|18576.0|2717.0|2008.0|4406.0|1488.0|6269.0|5126.0|22173.0|2488.0|1157.0|2706.0|15004.0|2850.0|1771.0|11230.0|1345.0|1885.0|2664.0|2078.0|11866.0|1212.0|14785.0|17869.0|3488.0|1772.0|1866.0|1666.0|6449.0|9732.0|8996.0|14503.0|5878.0|4636.0|2083.0|2877.0|5102.0|4771.0|2081.0|7180.0|9386.0|3728.0|1207.0|4682.0|7035.0|4225.0|5240.0|362.0|2373.0|12336.0|1677.0|3252.0|3962.0|2840.0|1139.0|3655.0|109687.0|27243.0|25026.0|6070.0|
||2018|18218.0|5776.0|5283.0|3382.0|2097.0|37934.0|17481.0|710.0|930.0|6684.0|5955.0|6660.0|1140.0|6557.0|553.0|1355.0|2349.0|3600.0|1836.0|1493.0|20986.0|6674.0|17500.0|2680.0|1960.0|4426.0|1434.0|6184.0|5066.0|21288.0|2471.0|939.0|2582.0|14759.0|2740.0|1855.0|10689.0|1348.0|1893.0|2538.0|2093.0|11073.0|1248.0|14265.0|16979.0|3351.0|1735.0|1807.0|1556.0|6160.0|9355.0|8810.0|13863.0|5798.0|4422.0|2126.0|2877.0|4937.0|4856.0|2073.0|7097.0|9156.0|3619.0|1235.0|4386.0|7006.0|4075.0|5441.0|377.0|2240.0|12397.0|1788.0|3063.0|3844.0|2866.0|1264.0|3562.0|106487.0|26143.0|24726.0|6104.0|
||2019|17911.0|5653.0|5249.0|3481.0|2092.0|38445.0|17620.0|642.0|875.0|6856.0|6170.0|6588.0|1118.0|6621.0|560.0|1334.0|2381.0|3577.0|1791.0|1448.0|21057.0|6427.0|18115.0|2644.0|1926.0|4310.0|1455.0|6219.0|5112.0|21252.0|2502.0|958.0|2524.0|14670.0|2606.0|1970.0|10781.0|1359.0|1737.0|2677.0|2020.0|10972.0|1261.0|14452.0|16884.0|3498.0|1816.0|1732.0|1524.0|6152.0|9209.0|8820.0|14086.0|5870.0|4415.0|2026.0|2777.0|4838.0|4808.0|1994.0|6837.0|8968.0|3595.0|1179.0|4223.0|7036.0|4022.0|5193.0|344.0|2259.0|12459.0|1728.0|2834.0|3612.0|2722.0|1114.0|3327.0|107302.0|25902.0|25292.0|5983.0|
